"","weight","state","age","gender","vote","unit"
"666",3394.4237,12,2,2,2,0
"667",4869.5398,12,0,2,2,0
"668",3705.8761,12,0,1,2,0
"669",3705.8761,12,0,1,2,0
"670",3289.6476,12,2,2,2,0
"671",3254.553,12,0,2,2,0
"672",4586.4493,12,NA,1,NA,0
"673",3847.4768,12,NA,2,NA,0
"674",3368.9812,12,3,1,2,0
"675",3474.902,12,2,2,2,0
"676",3773.7134,12,1,1,2,0
"677",4303.4107,12,0,2,1,0
"678",3747.4442,12,0,1,1,0
"679",3163.5266,12,1,1,2,0
"680",4303.4107,12,0,2,1,0
"681",5348.1895,12,0,1,1,0
"682",3603.2733,12,2,1,NA,0
"683",3708.7781,12,2,2,NA,0
"684",3407.947,12,2,1,2,0
"685",3367.0553,12,NA,2,NA,0
"686",3540.8779,12,1,1,2,0
"687",3369.2484,12,1,2,2,0
"688",3463.8762,12,2,2,2,0
"689",3472.787,12,2,1,2,0
"690",3043.8134,12,1,2,2,0
"691",3765.7516,12,1,1,2,0
"692",3465.3168,12,2,1,2,0
"693",2770.7199,12,2,2,2,0
"694",3568.8959,12,1,1,1,0
"695",2770.7199,12,2,2,2,0
"696",3843.7199,12,0,2,1,0
"697",3858.8937,12,0,1,1,0
"698",5070.0426,12,0,1,1,0
"699",5070.0426,12,0,1,1,0
"700",3560.3195,12,1,1,1,0
"701",3292.2417,12,2,2,1,0
"702",3903.7542,12,1,1,1,0
"703",3649.5945,12,1,2,1,0
"704",3657.6082,12,1,1,2,0
"705",3584.0319,12,0,2,2,0
"706",3264.194,12,3,2,1,0
"707",3544.954,12,2,2,2,0
"708",3580.8169,12,2,1,2,0
"709",3148.9946,12,2,1,2,0
"710",4451.1818,12,0,2,2,0
"711",3554.0502,12,1,2,2,0
"712",4392.8073,12,NA,2,NA,0
"713",3300.6822,12,NA,1,NA,0
"714",3446.2459,12,NA,1,NA,0
"715",3681.9945,12,1,1,1,0
"716",3372.415,12,1,2,1,0
"717",3294.049,12,3,1,NA,0
"718",3067.9128,12,3,1,2,0
"719",3090.2597,12,1,1,2,0
"720",3316.0779,12,1,1,2,0
"721",2907.1042,12,1,1,2,0
"722",3565.0704,12,1,2,NA,0
"723",3447.8096,12,0,2,1,0
"724",4564.6716,12,0,2,2,0
"725",3558.6245,12,2,2,2,0
